key,pref.id,sex,pref.E,pref.A,pref.J,人口,受療率_入院_悪性新生物_2017,受療率_入院_心疾患_2017,受療率_入院_脳血管疾患_2017,受療率_外来_悪性新生物_2017,受療率_外来_心疾患_2017,受療率_外来_脳血管疾患_2017,病院数_2014,診療所数_2014,がん治療認定医数_2020,循環器専門医数_2020,内視鏡専門医数_2020,75歳未満調整死亡率_悪性新生物_2018,60歳以上人口_2015,学習率2016,読書率_2016,書籍購入代金_2017,平均寿命_2015,健康寿命_2016,75歳未満調整死亡率_悪政新生物_2018,年齢調整死亡率_心疾患_2015,年齢調整死亡率_脳血管疾患_2015,60歳以上人口_2015,学習率_2016,読書率_2016,人口・世帯_年少人口割合2020,人口・世帯_老年人口割合2020,人口・世帯_生産年齢人口割合2020,人口・世帯_粗死亡率2020,人口・世帯_共働き世帯割合2020,自然環境_年平均気温,自然環境_年平均相対湿度,自然環境_降水量（年間）,自然環境_雪日数（年間）,経済基盤_県民所得,行政基盤_財政力指数,行政基盤_収支比率,行政基盤_生活保護費割合（県財政）,行政基盤_教育費割合（県財政）,教育_最終学歴が大学・大学院卒の者の割合,労働_１次産業就業者比率,労働_２次産業就業者比率,労働_３次産業就業者比率,労働_完全失業率,文化・スポーツ_図書館数（人口100万人当たり）
42,42,M,Nagasaki,Ngs,長崎,***,135,81,170,164,129,67,11.3,101.7,201,157,385,78.7,514280,30,31.5,34419,80.38,71.83,93.55523614,62,34,218706,27.5,25.8,12.7,32,55.3,12.94,26.34,17.7,75,1821,21,2388,0.336,0.2,0.35,22.08,11,7.4,19.5,69.9,4.4,27.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,M,Kumamoto,Kmm,熊本,***,112,80,161,134,114,67,11.9,82,298,193,538,66.5,645465,32.1,31.7,36086,81.22,,82.76817299,57.3,33.9,277369,31.7,26.8,13.4,30.6,56,12.23,28.29,17.5,72,1950.5,19,2438,0.407,4.7,0.53,14.14,12.4,9.6,20.6,67.5,4.5,26.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,M,Oita,Oit,大分,***,126,74,114,99,89,92,13.5,83,145,146,403,65.7,438899,32.2,32.4,43688,81.08,71.54,81.78466122,61,34.2,188649,31.2,28.5,12.3,32.4,55.2,12.5,26.01,17.1,72,1663,14,2619,0.383,1,0.3,21.71,12.7,6.7,22.3,66.5,4.5,28.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,M,Miyazaki,Myz,宮崎,***,121,61,152,126,145,104,12.6,80,109,101,270,70.2,409216,29.1,30.7,31702,80.34,72.05,85.01874695,71,42.2,176819,28.4,27.1,13.4,31.7,54.9,12.63,27.85,17.8,77,3167.5,2,2315,0.343,2,0.64,20.09,10.4,10.8,20.6,66.5,4.6,27.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,M,Kagoshima,Kgs,鹿児島,***,138,89,205,115,203,105,15.3,84.3,201,175,450,70.5,610789,29.2,30.5,39331,80.02,72.31,90.7658933,60,44.1,264397,27.1,27,13.3,31.4,55.3,13.43,25.06,19,73,2397,9,2384,0.343,0.7,0.88,23.32,10.6,9.3,19.1,69.7,4.7,38.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,M,Okinawa,Okn,沖縄,***,72,51,130,99,92,50,6.6,61.5,153,125,261,72.5,375758,33.8,33,32906,80.27,71.98,84.21900892,61.5,38.1,172123,33.5,28.4,17,21.6,61.4,8.28,22.42,23.5,74,2469.5,0,2166,0.348,1,1.26,22.99,12.7,4.5,13.8,73.5,6.3,27.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,F,Hokkaido,Hkk,北海道,***,,,,,,,,,,,,,,,,,86.77,73.77,66.05962848,34.5,21,1124226,31.6,41.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,F,Aomori,Amr,青森,***,,,,,,,,,,,,,,,,,85.93,75.14,66.91406037,36.6,28.2,286808,24.6,32.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
